Date,Account Balance,Backtest ID,Risk
2024-09-23,10003.03,Test 10,"TP: 0.00, SL: 0.00"
2024-10-14,10048.84,Test 10,"TP: 0.00, SL: 0.00"
2024-10-21,10055.86,Test 10,"TP: 0.00, SL: 0.00"
2024-10-29,10029.61,Test 10,"TP: 0.00, SL: 0.00"
2024-10-30,10040.35,Test 10,"TP: 0.00, SL: 0.00"
2024-10-09,10025.97,Test 10,"TP: 0.00, SL: 0.00"
2024-10-22,10052.53,Test 10,"TP: 0.00, SL: 0.00"
2024-10-23,10042.69,Test 10,"TP: 0.00, SL: 0.00"
2024-09-20,10000.00,Test 10,"TP: 0.00, SL: 0.00"
2024-09-25,10007.05,Test 10,"TP: 0.00, SL: 0.00"
2024-11-01,10005.31,Test 10,"TP: 0.00, SL: 0.00"
2024-11-06,10047.58,Test 10,"TP: 0.00, SL: 0.00"
2024-10-11,10038.28,Test 10,"TP: 0.00, SL: 0.00"
2024-10-17,10052.47,Test 10,"TP: 0.00, SL: 0.00"
2024-10-15,10040.02,Test 10,"TP: 0.00, SL: 0.00"
2024-10-16,10040.02,Test 10,"TP: 0.00, SL: 0.00"
2024-09-26,10003.03,Test 10,"TP: 0.00, SL: 0.00"
2024-09-27,10003.03,Test 10,"TP: 0.00, SL: 0.00"
2024-09-30,9994.42,Test 10,"TP: 0.00, SL: 0.00"
2024-10-01,9997.36,Test 10,"TP: 0.00, SL: 0.00"
2024-10-04,10001.47,Test 10,"TP: 0.00, SL: 0.00"
2024-10-10,10027.81,Test 10,"TP: 0.00, SL: 0.00"
2024-10-25,10030.18,Test 10,"TP: 0.00, SL: 0.00"
2024-11-08,10047.58,Test 10,"TP: 0.00, SL: 0.00"
2024-10-02,10000.42,Test 10,"TP: 0.00, SL: 0.00"
2024-10-24,10040.26,Test 10,"TP: 0.00, SL: 0.00"
2024-10-31,10005.31,Test 10,"TP: 0.00, SL: 0.00"
2024-11-04,9998.05,Test 10,"TP: 0.00, SL: 0.00"
2024-11-05,9998.05,Test 10,"TP: 0.00, SL: 0.00"
2024-09-24,10007.77,Test 10,"TP: 0.00, SL: 0.00"
2024-10-08,10013.50,Test 10,"TP: 0.00, SL: 0.00"
2024-10-18,10052.47,Test 10,"TP: 0.00, SL: 0.00"
2024-10-28,10029.61,Test 10,"TP: 0.00, SL: 0.00"
2024-11-07,10047.58,Test 10,"TP: 0.00, SL: 0.00"
2024-10-03,10001.47,Test 10,"TP: 0.00, SL: 0.00"
2024-10-07,10014.34,Test 10,"TP: 0.00, SL: 0.00"
2024-10-01,9997.36,Test 4,"TP: 0.00, SL: 0.00"
2024-10-10,10027.81,Test 4,"TP: 0.00, SL: 0.00"
2024-10-25,10030.18,Test 4,"TP: 0.00, SL: 0.00"
2024-10-09,10025.97,Test 4,"TP: 0.00, SL: 0.00"
2024-10-11,10038.28,Test 4,"TP: 0.00, SL: 0.00"
2024-10-14,10048.84,Test 4,"TP: 0.00, SL: 0.00"
2024-10-16,10040.02,Test 4,"TP: 0.00, SL: 0.00"
2024-11-08,10054.42,Test 4,"TP: 0.00, SL: 0.00"
2024-11-05,10010.83,Test 4,"TP: 0.00, SL: 0.00"
2024-09-23,10003.03,Test 4,"TP: 0.00, SL: 0.00"
2024-09-30,9994.42,Test 4,"TP: 0.00, SL: 0.00"
2024-10-03,10001.47,Test 4,"TP: 0.00, SL: 0.00"
2024-10-28,10029.61,Test 4,"TP: 0.00, SL: 0.00"
2024-10-29,10029.61,Test 4,"TP: 0.00, SL: 0.00"
2024-10-30,10040.35,Test 4,"TP: 0.00, SL: 0.00"
2024-09-25,10007.05,Test 4,"TP: 0.00, SL: 0.00"
2024-09-26,10003.03,Test 4,"TP: 0.00, SL: 0.00"
2024-10-17,10052.47,Test 4,"TP: 0.00, SL: 0.00"
2024-10-21,10055.86,Test 4,"TP: 0.00, SL: 0.00"
2024-10-24,10040.26,Test 4,"TP: 0.00, SL: 0.00"
2024-10-31,10040.35,Test 4,"TP: 0.00, SL: 0.00"
2024-11-01,10011.13,Test 4,"TP: 0.00, SL: 0.00"
2024-11-06,10054.42,Test 4,"TP: 0.00, SL: 0.00"
2024-11-04,10000.96,Test 4,"TP: 0.00, SL: 0.00"
2024-10-02,10000.42,Test 4,"TP: 0.00, SL: 0.00"
2024-10-04,10001.47,Test 4,"TP: 0.00, SL: 0.00"
2024-10-08,10013.50,Test 4,"TP: 0.00, SL: 0.00"
2024-10-15,10040.02,Test 4,"TP: 0.00, SL: 0.00"
2024-10-18,10052.47,Test 4,"TP: 0.00, SL: 0.00"
2024-09-27,10003.03,Test 4,"TP: 0.00, SL: 0.00"
2024-10-22,10052.53,Test 4,"TP: 0.00, SL: 0.00"
2024-11-07,10054.42,Test 4,"TP: 0.00, SL: 0.00"
2024-09-20,10000.00,Test 4,"TP: 0.00, SL: 0.00"
2024-09-24,10007.77,Test 4,"TP: 0.00, SL: 0.00"
2024-10-07,10014.34,Test 4,"TP: 0.00, SL: 0.00"
2024-10-23,10042.69,Test 4,"TP: 0.00, SL: 0.00"
2024-10-07,10017.89,Test 22,"TP: 0.00, SL: 0.00"
2024-10-11,10025.68,Test 22,"TP: 0.00, SL: 0.00"
