Date,Account Balance,Backtest ID,Risk
2024-06-27,10268.75,Test 19,"TP: 0.00, SL: 0.00"
2024-09-11,10315.05,Test 19,"TP: 0.00, SL: 0.00"
2024-09-12,10315.05,Test 19,"TP: 0.00, SL: 0.00"
2024-09-20,10354.77,Test 19,"TP: 0.00, SL: 0.00"
2023-11-17,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2024-04-03,10268.90,Test 19,"TP: 0.00, SL: 0.00"
2024-05-24,10212.86,Test 19,"TP: 0.00, SL: 0.00"
2024-06-05,10268.75,Test 19,"TP: 0.00, SL: 0.00"
2024-11-01,10368.08,Test 19,"TP: 0.00, SL: 0.00"
2023-06-20,10109.48,Test 19,"TP: 0.00, SL: 0.00"
2024-02-21,10229.30,Test 19,"TP: 0.00, SL: 0.00"
2024-03-13,10229.30,Test 19,"TP: 0.00, SL: 0.00"
2024-10-01,10354.77,Test 19,"TP: 0.00, SL: 0.00"
2023-12-14,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2024-03-06,10229.30,Test 19,"TP: 0.00, SL: 0.00"
2024-03-18,10229.30,Test 19,"TP: 0.00, SL: 0.00"
2024-10-17,10385.55,Test 19,"TP: 0.00, SL: 0.00"
2023-04-18,10000.00,Test 19,"TP: 0.00, SL: 0.00"
2023-06-09,10022.28,Test 19,"TP: 0.00, SL: 0.00"
2023-11-01,10048.37,Test 19,"TP: 0.00, SL: 0.00"
2023-12-04,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2024-04-10,10268.90,Test 19,"TP: 0.00, SL: 0.00"
2024-07-29,10293.97,Test 19,"TP: 0.00, SL: 0.00"
2024-10-09,10354.77,Test 19,"TP: 0.00, SL: 0.00"
2023-05-18,9995.48,Test 19,"TP: 0.00, SL: 0.00"
2023-05-24,9995.48,Test 19,"TP: 0.00, SL: 0.00"
2023-09-05,10145.03,Test 19,"TP: 0.00, SL: 0.00"
2023-12-29,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2023-10-30,10048.37,Test 19,"TP: 0.00, SL: 0.00"
2024-02-27,10229.30,Test 19,"TP: 0.00, SL: 0.00"
2024-03-19,10229.30,Test 19,"TP: 0.00, SL: 0.00"
2024-08-29,10315.05,Test 19,"TP: 0.00, SL: 0.00"
2024-10-07,10354.77,Test 19,"TP: 0.00, SL: 0.00"
2024-10-21,10385.55,Test 19,"TP: 0.00, SL: 0.00"
2023-05-26,10022.28,Test 19,"TP: 0.00, SL: 0.00"
2023-07-06,10140.51,Test 19,"TP: 0.00, SL: 0.00"
2023-07-13,10171.83,Test 19,"TP: 0.00, SL: 0.00"
2024-02-22,10229.30,Test 19,"TP: 0.00, SL: 0.00"
2023-05-02,10000.00,Test 19,"TP: 0.00, SL: 0.00"
2023-06-28,10109.48,Test 19,"TP: 0.00, SL: 0.00"
2024-06-04,10212.86,Test 19,"TP: 0.00, SL: 0.00"
2024-05-30,10212.86,Test 19,"TP: 0.00, SL: 0.00"
2024-09-09,10315.05,Test 19,"TP: 0.00, SL: 0.00"
2024-10-03,10354.77,Test 19,"TP: 0.00, SL: 0.00"
2024-10-18,10385.55,Test 19,"TP: 0.00, SL: 0.00"
2023-07-18,10171.83,Test 19,"TP: 0.00, SL: 0.00"
2023-10-25,10048.37,Test 19,"TP: 0.00, SL: 0.00"
2024-03-12,10229.30,Test 19,"TP: 0.00, SL: 0.00"
2024-04-09,10268.90,Test 19,"TP: 0.00, SL: 0.00"
2024-10-28,10385.55,Test 19,"TP: 0.00, SL: 0.00"
2024-08-09,10234.87,Test 19,"TP: 0.00, SL: 0.00"
2023-09-18,10166.21,Test 19,"TP: 0.00, SL: 0.00"
2024-02-01,10210.98,Test 19,"TP: 0.00, SL: 0.00"
2024-02-28,10229.30,Test 19,"TP: 0.00, SL: 0.00"
2024-05-23,10212.86,Test 19,"TP: 0.00, SL: 0.00"
2023-11-15,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2023-04-17,10000.00,Test 19,"TP: 0.00, SL: 0.00"
2023-07-10,10140.51,Test 19,"TP: 0.00, SL: 0.00"
2023-07-28,10171.83,Test 19,"TP: 0.00, SL: 0.00"
2023-10-12,10074.61,Test 19,"TP: 0.00, SL: 0.00"
2023-05-19,9995.48,Test 19,"TP: 0.00, SL: 0.00"
2023-11-14,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2024-05-29,10212.86,Test 19,"TP: 0.00, SL: 0.00"
2024-09-19,10354.77,Test 19,"TP: 0.00, SL: 0.00"
2024-03-21,10268.90,Test 19,"TP: 0.00, SL: 0.00"
2024-04-02,10268.90,Test 19,"TP: 0.00, SL: 0.00"
2024-07-18,10293.97,Test 19,"TP: 0.00, SL: 0.00"
2024-08-14,10234.87,Test 19,"TP: 0.00, SL: 0.00"
2023-06-02,10022.28,Test 19,"TP: 0.00, SL: 0.00"
2023-06-30,10140.51,Test 19,"TP: 0.00, SL: 0.00"
2023-08-03,10171.83,Test 19,"TP: 0.00, SL: 0.00"
2023-09-06,10145.03,Test 19,"TP: 0.00, SL: 0.00"
2023-08-22,10145.03,Test 19,"TP: 0.00, SL: 0.00"
2023-11-02,10048.37,Test 19,"TP: 0.00, SL: 0.00"
2024-01-26,10210.98,Test 19,"TP: 0.00, SL: 0.00"
2024-04-19,10268.90,Test 19,"TP: 0.00, SL: 0.00"
2023-04-12,10000.00,Test 19,"TP: 0.00, SL: 0.00"
2023-04-19,10000.00,Test 19,"TP: 0.00, SL: 0.00"
2023-05-30,10022.28,Test 19,"TP: 0.00, SL: 0.00"
2023-07-27,10171.83,Test 19,"TP: 0.00, SL: 0.00"
2024-08-05,10234.87,Test 19,"TP: 0.00, SL: 0.00"
2024-08-07,10234.87,Test 19,"TP: 0.00, SL: 0.00"
2024-01-30,10210.98,Test 19,"TP: 0.00, SL: 0.00"
2024-05-03,10212.86,Test 19,"TP: 0.00, SL: 0.00"
2024-07-19,10293.97,Test 19,"TP: 0.00, SL: 0.00"
2023-06-14,10022.28,Test 19,"TP: 0.00, SL: 0.00"
2023-09-15,10166.21,Test 19,"TP: 0.00, SL: 0.00"
2023-12-12,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2024-01-03,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2024-04-25,10268.90,Test 19,"TP: 0.00, SL: 0.00"
2024-09-03,10315.05,Test 19,"TP: 0.00, SL: 0.00"
2024-09-26,10354.77,Test 19,"TP: 0.00, SL: 0.00"
2023-04-11,10000.00,Test 19,"TP: 0.00, SL: 0.00"
2023-09-08,10145.03,Test 19,"TP: 0.00, SL: 0.00"
2023-12-01,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2024-01-19,10210.98,Test 19,"TP: 0.00, SL: 0.00"
2024-02-20,10248.50,Test 19,"TP: 0.00, SL: 0.00"
2024-04-17,10268.90,Test 19,"TP: 0.00, SL: 0.00"
2024-06-28,10268.75,Test 19,"TP: 0.00, SL: 0.00"
2024-07-05,10293.97,Test 19,"TP: 0.00, SL: 0.00"
2023-06-16,10109.48,Test 19,"TP: 0.00, SL: 0.00"
2023-07-20,10171.83,Test 19,"TP: 0.00, SL: 0.00"
2023-10-06,10074.61,Test 19,"TP: 0.00, SL: 0.00"
2023-10-13,10074.61,Test 19,"TP: 0.00, SL: 0.00"
2024-10-15,10385.55,Test 19,"TP: 0.00, SL: 0.00"
2023-12-28,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2024-01-23,10210.98,Test 19,"TP: 0.00, SL: 0.00"
2024-06-10,10268.75,Test 19,"TP: 0.00, SL: 0.00"
2024-09-23,10354.77,Test 19,"TP: 0.00, SL: 0.00"
2023-05-11,9980.56,Test 19,"TP: 0.00, SL: 0.00"
2023-07-19,10171.83,Test 19,"TP: 0.00, SL: 0.00"
2023-08-28,10145.03,Test 19,"TP: 0.00, SL: 0.00"
2023-09-07,10145.03,Test 19,"TP: 0.00, SL: 0.00"
2024-01-25,10210.98,Test 19,"TP: 0.00, SL: 0.00"
2024-07-31,10293.97,Test 19,"TP: 0.00, SL: 0.00"
2024-08-06,10234.87,Test 19,"TP: 0.00, SL: 0.00"
2024-11-07,10368.08,Test 19,"TP: 0.00, SL: 0.00"
2023-11-03,10048.37,Test 19,"TP: 0.00, SL: 0.00"
2023-11-07,10048.37,Test 19,"TP: 0.00, SL: 0.00"
2023-12-18,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2023-12-21,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2024-01-24,10210.98,Test 19,"TP: 0.00, SL: 0.00"
2024-04-22,10268.90,Test 19,"TP: 0.00, SL: 0.00"
2024-05-02,10212.86,Test 19,"TP: 0.00, SL: 0.00"
2024-08-13,10234.87,Test 19,"TP: 0.00, SL: 0.00"
2023-06-06,10022.28,Test 19,"TP: 0.00, SL: 0.00"
2023-07-17,10171.83,Test 19,"TP: 0.00, SL: 0.00"
2023-09-21,10166.21,Test 19,"TP: 0.00, SL: 0.00"
2023-11-16,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2024-10-04,10354.77,Test 19,"TP: 0.00, SL: 0.00"
2024-05-14,10212.86,Test 19,"TP: 0.00, SL: 0.00"
2024-05-28,10212.86,Test 19,"TP: 0.00, SL: 0.00"
2024-11-08,10368.08,Test 19,"TP: 0.00, SL: 0.00"
2023-08-24,10145.03,Test 19,"TP: 0.00, SL: 0.00"
2023-10-20,10048.37,Test 19,"TP: 0.00, SL: 0.00"
2024-01-10,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2024-04-29,10268.90,Test 19,"TP: 0.00, SL: 0.00"
2024-02-09,10248.50,Test 19,"TP: 0.00, SL: 0.00"
2024-06-20,10268.75,Test 19,"TP: 0.00, SL: 0.00"
2024-07-26,10293.97,Test 19,"TP: 0.00, SL: 0.00"
2024-01-18,10181.85,Test 19,"TP: 0.00, SL: 0.00"
2024-09-27,10354.77,Test 19,"TP: 0.00, SL: 0.00"
2024-10-14,10385.55,Test 19,"TP: 0.00, SL: 0.00"
2024-10-29,10385.55,Test 19,"TP: 0.00, SL: 0.00"
2024-02-12,10248.50,Test 19,"TP: 0.00, SL: 0.00"
2024-04-12,10268.90,Test 19,"TP: 0.00, SL: 0.00"
2024-07-17,10293.97,Test 19,"TP: 0.00, SL: 0.00"
2024-07-30,10293.97,Test 19,"TP: 0.00, SL: 0.00"
2024-02-23,10229.30,Test 19,"TP: 0.00, SL: 0.00"
2024-04-26,10268.90,Test 19,"TP: 0.00, SL: 0.00"
2024-06-07,10268.75,Test 19,"TP: 0.00, SL: 0.00"
2024-09-18,10315.05,Test 19,"TP: 0.00, SL: 0.00"
2023-04-26,10000.00,Test 19,"TP: 0.00, SL: 0.00"
2023-06-13,10022.28,Test 19,"TP: 0.00, SL: 0.00"
2023-06-22,10109.48,Test 19,"TP: 0.00, SL: 0.00"
2023-08-09,10171.83,Test 19,"TP: 0.00, SL: 0.00"
2024-10-23,10385.55,Test 19,"TP: 0.00, SL: 0.00"
2024-11-05,10368.08,Test 19,"TP: 0.00, SL: 0.00"
2024-04-24,10268.90,Test 19,"TP: 0.00, SL: 0.00"
2024-07-10,10293.97,Test 19,"TP: 0.00, SL: 0.00"
2024-07-24,10293.97,Test 19,"TP: 0.00, SL: 0.00"
2023-05-25,9995.48,Test 19,"TP: 0.00, SL: 0.00"
2023-09-13,10166.21,Test 19,"TP: 0.00, SL: 0.00"
2024-01-08,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2024-02-26,10229.30,Test 19,"TP: 0.00, SL: 0.00"
2023-05-10,9980.56,Test 19,"TP: 0.00, SL: 0.00"
2023-09-19,10166.21,Test 19,"TP: 0.00, SL: 0.00"
2024-03-14,10229.30,Test 19,"TP: 0.00, SL: 0.00"
2024-07-22,10293.97,Test 19,"TP: 0.00, SL: 0.00"
2024-08-30,10315.05,Test 19,"TP: 0.00, SL: 0.00"
2024-10-10,10354.77,Test 19,"TP: 0.00, SL: 0.00"
2023-03-31,10000.00,Test 19,"TP: 0.00, SL: 0.00"
2023-04-06,10000.00,Test 19,"TP: 0.00, SL: 0.00"
2023-08-08,10171.83,Test 19,"TP: 0.00, SL: 0.00"
2024-01-09,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2024-03-27,10268.90,Test 19,"TP: 0.00, SL: 0.00"
2024-05-21,10212.86,Test 19,"TP: 0.00, SL: 0.00"
2024-08-23,10315.05,Test 19,"TP: 0.00, SL: 0.00"
2023-05-08,9980.56,Test 19,"TP: 0.00, SL: 0.00"
2023-06-21,10109.48,Test 19,"TP: 0.00, SL: 0.00"
2023-09-29,10166.21,Test 19,"TP: 0.00, SL: 0.00"
2024-01-02,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2023-08-23,10145.03,Test 19,"TP: 0.00, SL: 0.00"
2023-10-11,10074.61,Test 19,"TP: 0.00, SL: 0.00"
2023-11-08,10048.37,Test 19,"TP: 0.00, SL: 0.00"
2023-12-11,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2023-04-13,10000.00,Test 19,"TP: 0.00, SL: 0.00"
2023-05-23,9995.48,Test 19,"TP: 0.00, SL: 0.00"
2023-06-23,10109.48,Test 19,"TP: 0.00, SL: 0.00"
2023-08-18,10145.03,Test 19,"TP: 0.00, SL: 0.00"
2023-12-15,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2024-01-12,10181.85,Test 19,"TP: 0.00, SL: 0.00"
2024-02-14,10248.50,Test 19,"TP: 0.00, SL: 0.00"
2024-11-06,10368.08,Test 19,"TP: 0.00, SL: 0.00"
2023-11-30,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2023-05-22,9995.48,Test 19,"TP: 0.00, SL: 0.00"
2023-06-15,10109.48,Test 19,"TP: 0.00, SL: 0.00"
2023-08-14,10171.83,Test 19,"TP: 0.00, SL: 0.00"
2023-10-05,10074.61,Test 19,"TP: 0.00, SL: 0.00"
2024-08-26,10315.05,Test 19,"TP: 0.00, SL: 0.00"
2023-05-05,9980.56,Test 19,"TP: 0.00, SL: 0.00"
2023-05-12,9980.56,Test 19,"TP: 0.00, SL: 0.00"
2023-11-20,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2023-12-06,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2023-12-22,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2023-08-10,10171.83,Test 19,"TP: 0.00, SL: 0.00"
2023-08-17,10145.03,Test 19,"TP: 0.00, SL: 0.00"
2023-08-21,10145.03,Test 19,"TP: 0.00, SL: 0.00"
2023-11-22,10153.05,Test 19,"TP: 0.00, SL: 0.00"
2023-10-04,10074.61,Test 19,"TP: 0.00, SL: 0.00"
2024-03-22,10268.90,Test 19,"TP: 0.00, SL: 0.00"
2024-04-01,10268.90,Test 19,"TP: 0.00, SL: 0.00"
2024-09-17,10315.05,Test 19,"TP: 0.00, SL: 0.00"
